model,sample,dependent,variable,coef,std_err,p_value,nobs,firms,years,r2_within,engine
A_Quantity_patent_grant_total,,ln_patent_grant_total,roa,0.11069615655889715,0.10498859559656193,0.29172885848359087,25831,5262,6,-0.06260519582803736,PanelOLS
A_Quantity_patent_grant_total,,ln_patent_grant_total,cashflow_ratio,0.00993227009307485,0.12071160395112265,0.9344240731585298,25831,5262,6,-0.06260519582803736,PanelOLS
A_Quantity_patent_grant_total,,ln_patent_grant_total,firm_age,0.16908245098808034,0.10070290380235761,0.0931628361566279,25831,5262,6,-0.06260519582803736,PanelOLS
B_RD_Behavior_ln_rd_expense_yuan,,ln_rd_expense_yuan,manufacturing_post2021,-0.7713581976251902,0.12270071636611385,3.312328189508662e-10,25831,5262,6,-0.23985589520972317,PanelOLS
B_RD_Behavior_ln_rd_expense_yuan,,ln_rd_expense_yuan,ln_assets,1.5008974370708321,0.13467121917999197,0.0,25831,5262,6,-0.23985589520972317,PanelOLS
B_RD_Behavior_ln_rd_expense_yuan,,ln_rd_expense_yuan,roa,0.8697163062296133,0.38148462649729764,0.02262855747722936,25831,5262,6,-0.23985589520972317,PanelOLS
B_RD_Behavior_ln_rd_expense_yuan,,ln_rd_expense_yuan,cashflow_ratio,-0.1757894392688355,0.48088872466329907,0.7147037730315637,25831,5262,6,-0.23985589520972317,PanelOLS
B_RD_Behavior_ln_rd_expense_yuan,,ln_rd_expense_yuan,firm_age,-0.5435414992109546,0.24335174194042555,0.02552254015840627,25831,5262,6,-0.23985589520972317,PanelOLS
B_RD_Behavior_ln_rd_expense_10k,,ln_rd_expense_10k,manufacturing_post2021,-0.2828377811792927,0.056762529321405554,6.317108807163407e-07,25831,5262,6,-0.2144885526642828,PanelOLS
B_RD_Behavior_ln_rd_expense_10k,,ln_rd_expense_10k,ln_assets,1.057954511060609,0.06315823065493764,0.0,25831,5262,6,-0.2144885526642828,PanelOLS
B_RD_Behavior_ln_rd_expense_10k,,ln_rd_expense_10k,roa,0.36826254767196853,0.17552951129184297,0.0359164972531838,25831,5262,6,-0.2144885526642828,PanelOLS
B_RD_Behavior_ln_rd_expense_10k,,ln_rd_expense_10k,cashflow_ratio,-0.025671060243920938,0.21683362472980636,0.9057593399624237,25831,5262,6,-0.2144885526642828,PanelOLS
B_RD_Behavior_ln_rd_expense_10k,,ln_rd_expense_10k,firm_age,-0.27308358438025016,0.10413058437107113,0.008734885508270285,25831,5262,6,-0.2144885526642828,PanelOLS
B_RD_Behavior_ln_rd_expense_million,,ln_rd_expense_million,manufacturing_post2021,-0.042231069014363964,0.028656013671338635,0.14057109787603417,25831,5262,6,-0.04334218118707245,PanelOLS
B_RD_Behavior_ln_rd_expense_million,,ln_rd_expense_million,ln_assets,0.8141157344891085,0.03343657115654728,0.0,25831,5262,6,-0.04334218118707245,PanelOLS
B_RD_Behavior_ln_rd_expense_million,,ln_rd_expense_million,roa,0.12257560672746749,0.08959054373953246,0.17127203175593997,25831,5262,6,-0.04334218118707245,PanelOLS
B_RD_Behavior_ln_rd_expense_million,,ln_rd_expense_million,cashflow_ratio,0.051727036761380595,0.10317752865566614,0.6161371273841931,25831,5262,6,-0.04334218118707245,PanelOLS
B_RD_Behavior_ln_rd_expense_million,,ln_rd_expense_million,firm_age,-0.13450077398220875,0.04358751772980763,0.0020329986759182184,25831,5262,6,-0.04334218118707245,PanelOLS
B_RD_Behavior_rd_intensity,,rd_intensity,manufacturing_post2021,-0.0029393830457826262,0.0012424282241885066,0.01799993195058258,22822,4898,6,-0.24376574052165423,PanelOLS
B_RD_Behavior_rd_intensity,,rd_intensity,ln_assets,-0.0012837542553120356,0.0011265955427617867,0.2545104097362203,22822,4898,6,-0.24376574052165423,PanelOLS
B_RD_Behavior_rd_intensity,,rd_intensity,roa,-0.08415971450988334,0.006334002662952949,0.0,22822,4898,6,-0.24376574052165423,PanelOLS
B_RD_Behavior_rd_intensity,,rd_intensity,cashflow_ratio,-0.02153132569910703,0.005002517233876908,1.6855708959262472e-05,22822,4898,6,-0.24376574052165423,PanelOLS
B_RD_Behavior_rd_intensity,,rd_intensity,firm_age,-0.005176306655222737,0.002400318969200163,0.03105729771493171,22822,4898,6,-0.24376574052165423,PanelOLS
B_RD_Behavior_ln_rd_staff,,ln_rd_staff,manufacturing_post2021,-0.1941325427767915,0.04429773691078288,1.1793428480677548e-05,25831,5262,6,-0.12711155353855652,PanelOLS
B_RD_Behavior_ln_rd_staff,,ln_rd_staff,ln_assets,0.8403917580188137,0.04603566266733179,0.0,25831,5262,6,-0.12711155353855652,PanelOLS
B_RD_Behavior_ln_rd_staff,,ln_rd_staff,roa,0.03470634917670015,0.12085355749862041,0.7739797722563357,25831,5262,6,-0.12711155353855652,PanelOLS
B_RD_Behavior_ln_rd_staff,,ln_rd_staff,cashflow_ratio,-0.12673138449947324,0.15227079035812408,0.4052626183756225,25831,5262,6,-0.12711155353855652,PanelOLS
B_RD_Behavior_ln_rd_staff,,ln_rd_staff,firm_age,-0.18733863715695787,0.08545056785114698,0.028364497133055444,25831,5262,6,-0.12711155353855652,PanelOLS
B_RD_Behavior_rd_staff_ratio,,rd_staff_ratio,manufacturing_post2021,-0.00010654343793232159,0.0029096759438642693,0.9707908616172003,21949,4843,6,-0.07313815372124388,PanelOLS
B_RD_Behavior_rd_staff_ratio,,rd_staff_ratio,ln_assets,0.005254141326084296,0.0026802229972869604,0.049972586187326806,21949,4843,6,-0.07313815372124388,PanelOLS
B_RD_Behavior_rd_staff_ratio,,rd_staff_ratio,roa,-0.007502344325069589,0.009184490063022376,0.4140259339660446,21949,4843,6,-0.07313815372124388,PanelOLS
B_RD_Behavior_rd_staff_ratio,,rd_staff_ratio,cashflow_ratio,-0.006007210825137234,0.008809912280318643,0.4953306853943904,21949,4843,6,-0.07313815372124388,PanelOLS
B_RD_Behavior_rd_staff_ratio,,rd_staff_ratio,firm_age,-0.00529480144724709,0.004120136040548605,0.198773511301791,21949,4843,6,-0.07313815372124388,PanelOLS
C_Efficiency_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,manufacturing_post2021,0.2653481827918645,0.061553769628415286,1.6339519781860545e-05,25831,5262,6,-0.09633418790885528,PanelOLS
C_Efficiency_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,ln_assets,-1.0080953373304877,0.06529933678704292,0.0,25831,5262,6,-0.09633418790885528,PanelOLS
C_Efficiency_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,roa,-0.3565988397814431,0.1904727565236864,0.06119621317896584,25831,5262,6,-0.09633418790885528,PanelOLS
C_Efficiency_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,cashflow_ratio,0.05181152955935523,0.2326369181898058,0.8237602134653867,25831,5262,6,-0.09633418790885528,PanelOLS
C_Efficiency_eff_invention_apply_rd_10k,,eff_invention_apply_rd_10k,firm_age,0.2105350790377361,0.1348132166593221,0.11837882848214676,25831,5262,6,-0.09633418790885528,PanelOLS
C_Efficiency_eff_invention_grant_rd_10k,,eff_invention_grant_rd_10k,manufacturing_post2021,0.27655203166735437,0.06104469097949924,5.922546176595489e-06,25831,5262,6,-0.1687396047625429,PanelOLS
C_Efficiency_eff_invention_grant_rd_10k,,eff_invention_grant_rd_10k,ln_assets,-0.9820690523019148,0.06456627596064876,0.0,25831,5262,6,-0.1687396047625429,PanelOLS
